名称,链接,错误信息
大董海参店(环贸iapm店),https://cn.tripadvisor.com/Restaurant_Review-g308272-d8701701-Reviews-Dadong_Restaurant_Huanmao_APM-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Read timed out."
Long Bar 廊吧 （上海外滩华尔道夫酒店）,https://cn.tripadvisor.com/Restaurant_Review-g308272-d3803001-Reviews-Long_Bar_at_Waldorf_Astoria_Shanghai_on_the_Bund-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Read timed out."
Palatino Roman Cuisine,https://cn.tripadvisor.com/Restaurant_Review-g308272-d7037768-Reviews-Palatino_Roman_Cuisine-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Read timed out."
蓝蛙(环球金融中心店),https://cn.tripadvisor.com/Restaurant_Review-g308272-d802193-Reviews-Blue_Frog_SWFC-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d802193-Reviews-Blue_Frog_SWFC-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
新荣记(上海广场店),https://cn.tripadvisor.com/Restaurant_Review-g308272-d4802921-Reviews-Xin_Rong_Ji_Shanghai_Plaza-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d4802921-Reviews-Xin_Rong_Ji_Shanghai_Plaza-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
Bella Napoli(南汇路店),https://cn.tripadvisor.com/Restaurant_Review-g308272-d1061282-Reviews-Bella_Napoli_Nanhui_Road-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Read timed out."
ElWilly,https://cn.tripadvisor.com/Restaurant_Review-g308272-d1098017-Reviews-El_Willy-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d1098017-Reviews-El_Willy-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
上海海底捞火锅店(张杨路店),https://cn.tripadvisor.com/Restaurant_Review-g308272-d2399881-Reviews-Shanghai_Haidilao_Hot_Pot_Zhangyang_Road-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Read timed out."
The COOK•厨,https://cn.tripadvisor.com/Restaurant_Review-g308272-d2257750-Reviews-The_COOK-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d2257750-Reviews-The_COOK-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
耶里夏丽(东方店),https://cn.tripadvisor.com/Restaurant_Review-g308272-d4446834-Reviews-Yershari_Xinjiang_Restaurant_dongfang-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d4446834-Reviews-Yershari_Xinjiang_Restaurant_dongfang-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
1515牛排馆•酒吧,https://cn.tripadvisor.com/Restaurant_Review-g308272-d4549873-Reviews-The_1515_West_Chophouse_Bar-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d4549873-Reviews-The_1515_West_Chophouse_Bar-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
Da Ivo 意大利魔镜餐厅,https://cn.tripadvisor.com/Restaurant_Review-g308272-d7163028-Reviews-Da_Ivo-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d7163028-Reviews-Da_Ivo-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
沈大成(南京东路店),https://cn.tripadvisor.com/Restaurant_Review-g308272-d3449957-Reviews-Shen_DaCheng_NanJing_East_Road-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d3449957-Reviews-Shen_DaCheng_NanJing_East_Road-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
La Parisienne,https://cn.tripadvisor.com/Restaurant_Review-g308272-d9739828-Reviews-La_Parisienne-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d9739828-Reviews-La_Parisienne-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
华懋阁,https://cn.tripadvisor.com/Restaurant_Review-g308272-d1925951-Reviews-The_Cathay_Room-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d1925951-Reviews-The_Cathay_Room-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
旋景餐厅,https://cn.tripadvisor.com/Restaurant_Review-g308272-d1552293-Reviews-Epicure_on_45-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d1552293-Reviews-Epicure_on_45-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
Calypso地中海餐厅,https://cn.tripadvisor.com/Restaurant_Review-g308272-d6280797-Reviews-Calypso_Restaurant_Lounge-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d6280797-Reviews-Calypso_Restaurant_Lounge-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
孔乙己酒家,https://cn.tripadvisor.com/Restaurant_Review-g308272-d4605842-Reviews-KongYiJi_Restaurant-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d4605842-Reviews-KongYiJi_Restaurant-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
大蒜土耳其餐厅,https://cn.tripadvisor.com/Restaurant_Review-g308272-d3872568-Reviews-Garlic-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d3872568-Reviews-Garlic-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
RAW Eatery And Wood Grill,https://cn.tripadvisor.com/Restaurant_Review-g308272-d10488757-Reviews-Raw_Eatery_And_Wood_Grill-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d10488757-Reviews-Raw_Eatery_And_Wood_Grill-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
人和馆,https://cn.tripadvisor.com/Restaurant_Review-g308272-d10835963-Reviews-Ren_He_Guan-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d10835963-Reviews-Ren_He_Guan-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
上海香料艺术印度餐厅（大沽路店）,https://cn.tripadvisor.com/Restaurant_Review-g308272-d2190323-Reviews-Masala_Art-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d2190323-Reviews-Masala_Art-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
Al Borgo,https://cn.tripadvisor.com/Restaurant_Review-g308272-d10431599-Reviews-Al_Borgo-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d10431599-Reviews-Al_Borgo-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
WET® 泳池酒吧,https://cn.tripadvisor.com/Restaurant_Review-g308272-d12864725-Reviews-WET_BAR_W_Shanghai_The_Bund-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d12864725-Reviews-WET_BAR_W_Shanghai_The_Bund-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
东方明珠旋转餐厅,https://cn.tripadvisor.com/Restaurant_Review-g308272-d3449881-Reviews-Oriental_Pearl_Revolving_Restaurant-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d3449881-Reviews-Oriental_Pearl_Revolving_Restaurant-Shanghai.html (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Read timed out. (read timeout=15)""))"
Speak Low,https://cn.tripadvisor.com/Restaurant_Review-g308272-d7885820-Reviews-Speak_Low-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d7885820-Reviews-Speak_Low-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
恰餐厅与酒吧,https://cn.tripadvisor.com/Restaurant_Review-g308272-d2177921-Reviews-CHAR_bar_and_grill-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d2177921-Reviews-CHAR_bar_and_grill-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
丽笙星空酒吧,https://cn.tripadvisor.com/Restaurant_Review-g308272-d5260581-Reviews-Sky_Dome_Bar-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d5260581-Reviews-Sky_Dome_Bar-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
外婆家(南京西路店分店),https://cn.tripadvisor.com/Restaurant_Review-g308272-d3618706-Reviews-The_Grandma_s_Nanjing_West_Road-Shanghai.html,"HTTPSConnectionPool(host='cn.tripadvisor.com', port=443): Max retries exceeded with url: /Restaurant_Review-g308272-d3618706-Reviews-The_Grandma_s_Nanjing_West_Road-Shanghai.html (Caused by ResponseError('too many 403 error responses'))"
